timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
14005248,-3.74233e-05,-0.000141679,-0.000843167,0.999952,2.63109e-05,-9.2966e-06,-0.00980777,1.0,0.0,0.0,0.0,0
14037787,-5.57612e-05,-3.02401e-05,-0.000912495,0.999953,2.6096e-05,-1.01201e-05,-0.00971264,1.0,0.0,0.0,0.0,0
14065320,-5.18107e-05,3.61924e-05,-0.000800251,0.999954,2.65825e-05,-9.57313e-06,-0.00963717,1.0,0.0,0.0,0.0,0
14100273,5.29149e-05,1.8112e-05,-0.000788509,0.999955,2.72312e-05,-1.07703e-05,-0.00954024,1.0,0.0,0.0,0.0,0
14130234,-5.81703e-05,-2.49374e-05,-0.000793529,0.999955,2.77497e-05,-1.10551e-05,-0.00946507,1.0,0.0,0.0,0.0,0
14160249,1.54693e-05,-7.77631e-07,-0.000766777,0.999956,2.81171e-05,-1.22039e-05,-0.00938412,1.0,0.0,0.0,0.0,0
14192769,-2.58024e-05,-7.41953e-06,-0.00078821,0.999957,2.83452e-05,-1.34076e-05,-0.00930304,1.0,0.0,0.0,0.0,0
14225250,7.98122e-05,-7.07981e-05,-0.000853108,0.999958,2.91293e-05,-1.47329e-05,-0.00920196,1.0,0.0,0.0,0.0,0
14255294,2.34892e-05,1.72428e-05,-0.000800238,0.999958,2.9573e-05,-1.5851e-05,-0.00913063,1.0,0.0,0.0,0.0,0
14287742,-1.4718e-06,-0.000118816,-0.000753665,0.999959,2.9961e-05,-1.711e-05,-0.00905077,1.0,0.0,0.0,0.0,0
14317768,-7.63312e-05,-5.02526e-05,-0.000692999,0.99996,3.06135e-05,-1.94915e-05,-0.00897524,1.0,0.0,0.0,0.0,0
14350227,4.89109e-05,4.04511e-05,-0.000728103,0.999961,3.22886e-05,-2.11362e-05,-0.00887757,1.0,0.0,0.0,0.0,0
